sku,supplier_id,unit_cost,currency,uom,extracted_at
SKU01119,SUP107,1274.7568,NZD,each,2026-04-01 02:00:00
SKU01120,SUP115,427.5377,NZD,each,2026-04-01 02:00:00
SKU01121,SUP112,403.0464,NZD,each,2026-04-01 02:00:00
SKU01122,SUP105,1329.2882,NZD,each,2026-04-01 02:00:00
SKU01123,SUP112,615.2886,NZD,each,2026-04-01 02:00:00
SKU01124,SUP125,550.6203,NZD,each,2026-04-01 02:00:00
SKU01125,SUP109,995.3479,NZD,each,2026-04-01 02:00:00
SKU01126,SUP130,588.5315,NZD,each,2026-04-01 02:00:00
SKU01127,SUP115,816.87,NZD,each,2026-04-01 02:00:00
SKU01128,SUP109,273.123,NZD,each,2026-04-01 02:00:00
SKU01129,SUP101,424.8183,NZD,each,2026-04-01 02:00:00
SKU01130,SUP117,658.9874,NZD,each,2026-04-01 02:00:00
SKU01131,SUP110,202.0692,NZD,each,2026-04-01 02:00:00
SKU01132,SUP118,198.9971,NZD,each,2026-04-01 02:00:00
SKU01133,SUP129,554.8934,NZD,each,2026-04-01 02:00:00
SKU01134,SUP130,409.4738,NZD,each,2026-04-01 02:00:00
SKU01135,SUP127,824.8549,NZD,each,2026-04-01 02:00:00
SKU01136,SUP119,393.4589,NZD,each,2026-04-01 02:00:00
SKU01137,SUP127,241.3118,NZD,each,2026-04-01 02:00:00
SKU01138,SUP103,358.9286,NZD,each,2026-04-01 02:00:00
SKU01139,SUP118,971.9346,NZD,each,2026-04-01 02:00:00
SKU01140,SUP119,414.3878,NZD,each,2026-04-01 02:00:00
SKU01141,SUP113,272.122,NZD,each,2026-04-01 02:00:00
SKU01142,SUP118,284.5312,NZD,each,2026-04-01 02:00:00
SKU01143,SUP129,249.9619,NZD,each,2026-04-01 02:00:00
SKU01144,SUP122,180.9793,NZD,each,2026-04-01 02:00:00
SKU01145,SUP108,211.3871,NZD,each,2026-04-01 02:00:00
SKU01146,SUP121,285.4809,NZD,each,2026-04-01 02:00:00
SKU01147,SUP114,397.8069,NZD,each,2026-04-01 02:00:00
SKU01148,SUP124,243.91,NZD,each,2026-04-01 02:00:00
SKU01149,SUP119,82.9039,NZD,each,2026-04-01 02:00:00
SKU01150,SUP103,1003.066,NZD,each,2026-04-01 02:00:00
SKU01151,SUP106,119.3515,NZD,each,2026-04-01 02:00:00
SKU01152,SUP129,370.2157,NZD,each,2026-04-01 02:00:00
SKU01153,SUP102,413.3174,NZD,each,2026-04-01 02:00:00
SKU01154,SUP111,1046.1588,NZD,each,2026-04-01 02:00:00
SKU01155,SUP114,326.473,NZD,each,2026-04-01 02:00:00
SKU01156,SUP122,1026.6401,NZD,each,2026-04-01 02:00:00
SKU01157,SUP125,324.9094,NZD,each,2026-04-01 02:00:00
SKU01158,SUP100,787.3766,NZD,each,2026-04-01 02:00:00
SKU01159,SUP121,188.5906,NZD,each,2026-04-01 02:00:00
SKU01160,SUP128,96.6367,NZD,each,2026-04-01 02:00:00
SKU01161,SUP103,94.3917,NZD,each,2026-04-01 02:00:00
SKU01162,SUP123,401.842,NZD,each,2026-04-01 02:00:00
SKU01163,SUP108,274.114,NZD,each,2026-04-01 02:00:00
SKU01164,SUP106,152.6877,NZD,each,2026-04-01 02:00:00
SKU01165,SUP106,308.1596,NZD,each,2026-04-01 02:00:00
SKU01166,SUP108,412.7511,NZD,each,2026-04-01 02:00:00
SKU01167,SUP127,564.7667,NZD,each,2026-04-01 02:00:00
SKU01168,SUP120,143.8558,NZD,each,2026-04-01 02:00:00
SKU01169,SUP108,343.4194,NZD,each,2026-04-01 02:00:00
SKU01170,SUP110,159.9486,NZD,each,2026-04-01 02:00:00
SKU01171,SUP108,215.0499,NZD,each,2026-04-01 02:00:00
SKU01172,SUP114,88.9454,NZD,each,2026-04-01 02:00:00
SKU01173,SUP113,222.3988,NZD,each,2026-04-01 02:00:00
SKU01174,SUP103,189.8995,NZD,each,2026-04-01 02:00:00
SKU01175,SUP122,235.2586,NZD,each,2026-04-01 02:00:00
SKU01176,SUP117,273.1776,NZD,each,2026-04-01 02:00:00
SKU01177,SUP111,27.293,NZD,each,2026-04-01 02:00:00
SKU01178,SUP113,132.2581,NZD,each,2026-04-01 02:00:00
SKU01179,SUP109,60.8165,NZD,each,2026-04-01 02:00:00
SKU01180,SUP129,108.1133,NZD,each,2026-04-01 02:00:00
SKU01181,SUP127,206.7058,NZD,each,2026-04-01 02:00:00
SKU01182,SUP111,52.3206,NZD,each,2026-04-01 02:00:00
SKU01183,SUP107,68.3849,NZD,each,2026-04-01 02:00:00
SKU01184,SUP111,140.155,NZD,each,2026-04-01 02:00:00
SKU01185,SUP113,785.0884,NZD,each,2026-04-01 02:00:00
SKU01186,SUP123,709.8564,NZD,each,2026-04-01 02:00:00
SKU01187,SUP129,365.9031,NZD,each,2026-04-01 02:00:00
SKU01188,SUP105,396.3287,NZD,each,2026-04-01 02:00:00
SKU01189,SUP125,730.0293,NZD,each,2026-04-01 02:00:00
SKU01190,SUP113,444.0118,NZD,each,2026-04-01 02:00:00
SKU01191,SUP123,297.3896,NZD,each,2026-04-01 02:00:00
SKU01192,SUP113,598.658,NZD,each,2026-04-01 02:00:00
SKU01193,SUP127,687.2319,NZD,each,2026-04-01 02:00:00
SKU01194,SUP107,497.8439,NZD,each,2026-04-01 02:00:00
SKU01195,SUP125,431.0797,NZD,each,2026-04-01 02:00:00
SKU01196,SUP112,571.4119,NZD,each,2026-04-01 02:00:00
SKU01197,SUP107,432.9932,NZD,each,2026-04-01 02:00:00
SKU01198,SUP129,338.0862,NZD,each,2026-04-01 02:00:00
SKU01199,SUP109,399.254,NZD,each,2026-04-01 02:00:00
SKU01200,SUP121,124.2352,NZD,each,2026-04-01 02:00:00
SKU01201,SUP110,135.7421,NZD,each,2026-04-01 02:00:00
SKU01202,SUP102,129.1104,NZD,each,2026-04-01 02:00:00
SKU01203,SUP108,430.181,NZD,each,2026-04-01 02:00:00
SKU01204,SUP112,230.5296,NZD,each,2026-04-01 02:00:00
SKU01205,SUP126,187.3925,NZD,each,2026-04-01 02:00:00
SKU01206,SUP130,205.3061,NZD,each,2026-04-01 02:00:00
SKU01207,SUP128,51.0863,NZD,each,2026-04-01 02:00:00
SKU01208,SUP105,330.72,NZD,each,2026-04-01 02:00:00
SKU01209,SUP108,534.8032,NZD,each,2026-04-01 02:00:00
SKU01210,SUP119,79.1455,NZD,each,2026-04-01 02:00:00
SKU01211,SUP123,317.2219,NZD,each,2026-04-01 02:00:00
SKU01212,SUP113,456.797,NZD,each,2026-04-01 02:00:00
SKU01213,SUP116,320.8545,NZD,each,2026-04-01 02:00:00
SKU01214,SUP128,96.7937,NZD,each,2026-04-01 02:00:00
SKU01215,SUP108,366.5528,NZD,each,2026-04-01 02:00:00
SKU01216,SUP100,297.4246,NZD,each,2026-04-01 02:00:00
SKU01217,SUP125,196.7462,NZD,each,2026-04-01 02:00:00
SKU01218,SUP123,243.2564,NZD,each,2026-04-01 02:00:00
SKU01219,SUP102,171.3775,NZD,each,2026-04-01 02:00:00
SKU01220,SUP129,471.8371,NZD,each,2026-04-01 02:00:00
SKU01221,SUP110,186.8508,NZD,each,2026-04-01 02:00:00
SKU01222,SUP103,307.3292,NZD,each,2026-04-01 02:00:00
SKU01223,SUP121,213.1248,NZD,each,2026-04-01 02:00:00
SKU01224,SUP112,238.6366,NZD,each,2026-04-01 02:00:00
SKU01225,SUP117,372.9936,NZD,each,2026-04-01 02:00:00
SKU01226,SUP113,89.0507,NZD,each,2026-04-01 02:00:00
SKU01227,SUP112,267.2132,NZD,each,2026-04-01 02:00:00
SKU01228,SUP109,221.3392,NZD,each,2026-04-01 02:00:00
SKU01229,SUP126,185.1182,NZD,each,2026-04-01 02:00:00
SKU01230,SUP109,43.5489,NZD,each,2026-04-01 02:00:00
SKU01231,SUP125,106.2185,NZD,each,2026-04-01 02:00:00
SKU01232,SUP110,914.1071,NZD,each,2026-04-01 02:00:00
SKU01233,SUP114,901.5503,NZD,each,2026-04-01 02:00:00
SKU01234,SUP116,1077.2439,NZD,each,2026-04-01 02:00:00
SKU01235,SUP128,1041.0055,NZD,each,2026-04-01 02:00:00
SKU01236,SUP123,1331.539,NZD,each,2026-04-01 02:00:00
SKU01237,SUP102,402.7951,NZD,each,2026-04-01 02:00:00
SKU01238,SUP121,695.9252,NZD,each,2026-04-01 02:00:00
SKU01239,SUP126,791.3155,NZD,each,2026-04-01 02:00:00
SKU01240,SUP107,1727.0152,NZD,each,2026-04-01 02:00:00
SKU01241,SUP107,1330.8833,NZD,each,2026-04-01 02:00:00
SKU01242,SUP104,1848.0329,NZD,each,2026-04-01 02:00:00
SKU01243,SUP107,465.101,NZD,each,2026-04-01 02:00:00
SKU01244,SUP119,2187.3044,NZD,each,2026-04-01 02:00:00
SKU01245,SUP102,1518.047,NZD,each,2026-04-01 02:00:00
SKU01246,SUP120,655.8184,NZD,each,2026-04-01 02:00:00
SKU01247,SUP122,871.0626,NZD,each,2026-04-01 02:00:00
SKU01248,SUP115,1132.85,NZD,each,2026-04-01 02:00:00
SKU01249,SUP104,782.3699,NZD,each,2026-04-01 02:00:00
SKU01250,SUP100,1147.5774,NZD,each,2026-04-01 02:00:00
SKU01251,SUP127,1317.2183,NZD,each,2026-04-01 02:00:00
SKU01252,SUP107,702.4851,NZD,each,2026-04-01 02:00:00
SKU01253,SUP130,317.4297,NZD,each,2026-04-01 02:00:00
SKU01254,SUP114,677.3992,NZD,each,2026-04-01 02:00:00
