snapshot_date,sku,warehouse_id,reported_qty,snapshot_source,snapshot_taken_at
2026-04-01,SKU01015,WH001,108,ERP,2026-04-01 23:55:00
2026-04-01,SKU01015,WH002,142,ERP,2026-04-01 23:55:00
2026-04-01,SKU01015,WH003,200,ERP,2026-04-01 23:55:00
2026-04-01,SKU01015,WH004,152,ERP,2026-04-01 23:55:00
2026-04-01,SKU01016,WH001,88,ERP,2026-04-01 23:55:00
2026-04-01,SKU01016,WH002,72,ERP,2026-04-01 23:55:00
2026-04-01,SKU01016,WH003,56,ERP,2026-04-01 23:55:00
2026-04-01,SKU01016,WH004,118,ERP,2026-04-01 23:55:00
2026-04-01,SKU01017,WH001,159,ERP,2026-04-01 23:55:00
2026-04-01,SKU01017,WH002,103,ERP,2026-04-01 23:55:00
2026-04-01,SKU01017,WH003,63,ERP,2026-04-01 23:55:00
2026-04-01,SKU01017,WH004,115,ERP,2026-04-01 23:55:00
2026-04-01,SKU01018,WH001,193,ERP,2026-04-01 23:55:00
2026-04-01,SKU01018,WH002,145,ERP,2026-04-01 23:55:00
2026-04-01,SKU01018,WH003,80,ERP,2026-04-01 23:55:00
2026-04-01,SKU01018,WH004,179,ERP,2026-04-01 23:55:00
2026-04-01,SKU01019,WH001,65,ERP,2026-04-01 23:55:00
2026-04-01,SKU01019,WH002,145,ERP,2026-04-01 23:55:00
2026-04-01,SKU01019,WH003,56,ERP,2026-04-01 23:55:00
2026-04-01,SKU01019,WH004,95,ERP,2026-04-01 23:55:00
2026-04-01,SKU01020,WH001,99,ERP,2026-04-01 23:55:00
2026-04-01,SKU01020,WH002,140,ERP,2026-04-01 23:55:00
2026-04-01,SKU01020,WH003,182,ERP,2026-04-01 23:55:00
2026-04-01,SKU01020,WH004,92,ERP,2026-04-01 23:55:00
2026-04-01,SKU01021,WH002,142,ERP,2026-04-01 23:55:00
2026-04-01,SKU01021,WH003,182,ERP,2026-04-01 23:55:00
2026-04-01,SKU01021,WH004,152,ERP,2026-04-01 23:55:00
2026-04-01,SKU01022,WH001,70,ERP,2026-04-01 23:55:00
2026-04-01,SKU01022,WH002,169,ERP,2026-04-01 23:55:00
2026-04-01,SKU01022,WH003,176,ERP,2026-04-01 23:55:00
2026-04-01,SKU01022,WH004,181,ERP,2026-04-01 23:55:00
2026-04-01,SKU01023,WH001,144,ERP,2026-04-01 23:55:00
2026-04-01,SKU01023,WH002,54,ERP,2026-04-01 23:55:00
2026-04-01,SKU01023,WH003,123,ERP,2026-04-01 23:55:00
2026-04-01,SKU01023,WH004,99,ERP,2026-04-01 23:55:00
2026-04-01,SKU01024,WH001,93,ERP,2026-04-01 23:55:00
2026-04-01,SKU01024,WH002,162,ERP,2026-04-01 23:55:00
2026-04-01,SKU01024,WH003,51,ERP,2026-04-01 23:55:00
2026-04-01,SKU01024,WH004,192,ERP,2026-04-01 23:55:00
2026-04-01,SKU01025,WH001,74,ERP,2026-04-01 23:55:00
2026-04-01,SKU01025,WH002,97,ERP,2026-04-01 23:55:00
2026-04-01,SKU01025,WH003,88,ERP,2026-04-01 23:55:00
2026-04-01,SKU01025,WH004,61,ERP,2026-04-01 23:55:00
2026-04-01,SKU01026,WH001,79,ERP,2026-04-01 23:55:00
2026-04-01,SKU01026,WH002,65,ERP,2026-04-01 23:55:00
2026-04-01,SKU01026,WH003,175,ERP,2026-04-01 23:55:00
2026-04-01,SKU01026,WH004,168,ERP,2026-04-01 23:55:00
2026-04-01,SKU01027,WH001,126,ERP,2026-04-01 23:55:00
2026-04-01,SKU01027,WH002,142,ERP,2026-04-01 23:55:00
2026-04-01,SKU01027,WH003,186,ERP,2026-04-01 23:55:00
2026-04-01,SKU01027,WH004,149,ERP,2026-04-01 23:55:00
2026-04-01,SKU01028,WH001,162,ERP,2026-04-01 23:55:00
2026-04-01,SKU01028,WH003,137,ERP,2026-04-01 23:55:00
2026-04-01,SKU01028,WH004,180,ERP,2026-04-01 23:55:00
2026-04-01,SKU01029,WH001,194,ERP,2026-04-01 23:55:00
2026-04-01,SKU01029,WH002,148,ERP,2026-04-01 23:55:00
2026-04-01,SKU01029,WH003,124,ERP,2026-04-01 23:55:00
2026-04-01,SKU01029,WH004,178,ERP,2026-04-01 23:55:00
2026-04-01,SKU01030,WH001,88,ERP,2026-04-01 23:55:00
2026-04-01,SKU01030,WH002,102,ERP,2026-04-01 23:55:00
2026-04-01,SKU01030,WH003,164,ERP,2026-04-01 23:55:00
2026-04-01,SKU01030,WH004,133,ERP,2026-04-01 23:55:00
2026-04-01,SKU01031,WH001,136,ERP,2026-04-01 23:55:00
2026-04-01,SKU01031,WH002,129,ERP,2026-04-01 23:55:00
2026-04-01,SKU01031,WH003,84,ERP,2026-04-01 23:55:00
2026-04-01,SKU01031,WH004,179,ERP,2026-04-01 23:55:00
2026-04-01,SKU01032,WH001,105,ERP,2026-04-01 23:55:00
2026-04-01,SKU01032,WH002,122,ERP,2026-04-01 23:55:00
2026-04-01,SKU01032,WH003,198,ERP,2026-04-01 23:55:00
2026-04-01,SKU01032,WH004,80,ERP,2026-04-01 23:55:00
2026-04-01,SKU01033,WH001,51,ERP,2026-04-01 23:55:00
2026-04-01,SKU01033,WH002,98,ERP,2026-04-01 23:55:00
2026-04-01,SKU01033,WH003,96,ERP,2026-04-01 23:55:00
2026-04-01,SKU01033,WH004,138,ERP,2026-04-01 23:55:00
2026-04-01,SKU01034,WH001,95,ERP,2026-04-01 23:55:00
2026-04-01,SKU01034,WH002,113,ERP,2026-04-01 23:55:00
2026-04-01,SKU01034,WH003,195,ERP,2026-04-01 23:55:00
2026-04-01,SKU01034,WH004,136,ERP,2026-04-01 23:55:00
2026-04-01,SKU01035,WH001,114,ERP,2026-04-01 23:55:00
2026-04-01,SKU01035,WH002,98,ERP,2026-04-01 23:55:00
2026-04-01,SKU01035,WH003,139,ERP,2026-04-01 23:55:00
2026-04-01,SKU01035,WH004,198,ERP,2026-04-01 23:55:00
2026-04-01,SKU01036,WH001,113,ERP,2026-04-01 23:55:00
2026-04-01,SKU01036,WH002,131,ERP,2026-04-01 23:55:00
2026-04-01,SKU01036,WH003,137,ERP,2026-04-01 23:55:00
2026-04-01,SKU01036,WH004,76,ERP,2026-04-01 23:55:00
2026-04-01,SKU01037,WH001,119,ERP,2026-04-01 23:55:00
2026-04-01,SKU01037,WH002,116,ERP,2026-04-01 23:55:00
2026-04-01,SKU01037,WH003,156,ERP,2026-04-01 23:55:00
2026-04-01,SKU01037,WH004,127,ERP,2026-04-01 23:55:00
2026-04-01,SKU01038,WH001,191,ERP,2026-04-01 23:55:00
2026-04-01,SKU01038,WH002,135,ERP,2026-04-01 23:55:00
2026-04-01,SKU01038,WH003,100,ERP,2026-04-01 23:55:00
2026-04-01,SKU01038,WH004,99,ERP,2026-04-01 23:55:00
2026-04-01,SKU01039,WH001,99,ERP,2026-04-01 23:55:00
2026-04-01,SKU01039,WH002,99,ERP,2026-04-01 23:55:00
2026-04-01,SKU01039,WH003,72,ERP,2026-04-01 23:55:00
2026-04-01,SKU01039,WH004,84,ERP,2026-04-01 23:55:00
2026-04-01,SKU01040,WH001,54,ERP,2026-04-01 23:55:00
2026-04-01,SKU01040,WH002,81,ERP,2026-04-01 23:55:00
2026-04-01,SKU01040,WH003,98,ERP,2026-04-01 23:55:00
2026-04-01,SKU01041,WH001,149,ERP,2026-04-01 23:55:00
2026-04-01,SKU01041,WH002,65,ERP,2026-04-01 23:55:00
2026-04-01,SKU01041,WH003,80,ERP,2026-04-01 23:55:00
2026-04-01,SKU01042,WH001,177,ERP,2026-04-01 23:55:00
2026-04-01,SKU01042,WH002,102,ERP,2026-04-01 23:55:00
2026-04-01,SKU01042,WH003,120,ERP,2026-04-01 23:55:00
2026-04-01,SKU01042,WH004,144,ERP,2026-04-01 23:55:00
2026-04-01,SKU01043,WH001,129,ERP,2026-04-01 23:55:00
2026-04-01,SKU01043,WH002,156,ERP,2026-04-01 23:55:00
2026-04-01,SKU01043,WH003,68,ERP,2026-04-01 23:55:00
2026-04-01,SKU01043,WH004,134,ERP,2026-04-01 23:55:00
2026-04-01,SKU01044,WH001,64,ERP,2026-04-01 23:55:00
2026-04-01,SKU01044,WH002,76,ERP,2026-04-01 23:55:00
2026-04-01,SKU01044,WH003,155,ERP,2026-04-01 23:55:00
2026-04-01,SKU01044,WH004,142,ERP,2026-04-01 23:55:00
2026-04-01,SKU01045,WH001,136,ERP,2026-04-01 23:55:00
2026-04-01,SKU01045,WH002,167,ERP,2026-04-01 23:55:00
2026-04-01,SKU01045,WH003,132,ERP,2026-04-01 23:55:00
2026-04-01,SKU01045,WH004,78,ERP,2026-04-01 23:55:00
2026-04-01,SKU01046,WH001,160,ERP,2026-04-01 23:55:00
2026-04-01,SKU01046,WH002,76,ERP,2026-04-01 23:55:00
2026-04-01,SKU01046,WH003,101,ERP,2026-04-01 23:55:00
2026-04-01,SKU01046,WH004,139,ERP,2026-04-01 23:55:00
2026-04-01,SKU01047,WH001,74,ERP,2026-04-01 23:55:00
2026-04-01,SKU01047,WH002,100,ERP,2026-04-01 23:55:00
2026-04-01,SKU01047,WH003,87,ERP,2026-04-01 23:55:00
2026-04-01,SKU01047,WH004,84,ERP,2026-04-01 23:55:00
2026-04-01,SKU01048,WH001,98,ERP,2026-04-01 23:55:00
2026-04-01,SKU01048,WH002,69,ERP,2026-04-01 23:55:00
2026-04-01,SKU01048,WH003,157,ERP,2026-04-01 23:55:00
2026-04-01,SKU01048,WH004,198,ERP,2026-04-01 23:55:00
2026-04-01,SKU01049,WH001,110,ERP,2026-04-01 23:55:00
2026-04-01,SKU01049,WH003,159,ERP,2026-04-01 23:55:00
2026-04-01,SKU01049,WH004,175,ERP,2026-04-01 23:55:00
2026-04-01,SKU01050,WH001,94,ERP,2026-04-01 23:55:00
2026-04-01,SKU01050,WH002,54,ERP,2026-04-01 23:55:00
2026-04-01,SKU01050,WH004,154,ERP,2026-04-01 23:55:00
2026-04-01,SKU01051,WH001,96,ERP,2026-04-01 23:55:00
2026-04-01,SKU01051,WH002,142,ERP,2026-04-01 23:55:00
2026-04-01,SKU01051,WH003,180,ERP,2026-04-01 23:55:00
2026-04-01,SKU01051,WH004,79,ERP,2026-04-01 23:55:00
2026-04-01,SKU01052,WH001,169,ERP,2026-04-01 23:55:00
2026-04-01,SKU01052,WH002,83,ERP,2026-04-01 23:55:00
2026-04-01,SKU01052,WH003,52,ERP,2026-04-01 23:55:00
2026-04-01,SKU01052,WH004,73,ERP,2026-04-01 23:55:00
2026-04-01,SKU01053,WH002,71,ERP,2026-04-01 23:55:00
2026-04-01,SKU01053,WH003,179,ERP,2026-04-01 23:55:00
2026-04-01,SKU01053,WH004,118,ERP,2026-04-01 23:55:00
2026-04-01,SKU01054,WH001,118,ERP,2026-04-01 23:55:00
2026-04-01,SKU01054,WH002,85,ERP,2026-04-01 23:55:00
2026-04-01,SKU01054,WH003,230,ERP,2026-04-01 23:55:00
2026-04-01,SKU01054,WH004,157,ERP,2026-04-01 23:55:00
2026-04-01,SKU01055,WH001,164,ERP,2026-04-01 23:55:00
2026-04-01,SKU01055,WH002,111,ERP,2026-04-01 23:55:00
2026-04-01,SKU01055,WH003,105,ERP,2026-04-01 23:55:00
2026-04-01,SKU01055,WH004,140,ERP,2026-04-01 23:55:00
2026-04-01,SKU01056,WH001,98,ERP,2026-04-01 23:55:00
2026-04-01,SKU01056,WH002,189,ERP,2026-04-01 23:55:00
2026-04-01,SKU01056,WH004,172,ERP,2026-04-01 23:55:00
2026-04-01,SKU01057,WH001,58,ERP,2026-04-01 23:55:00
2026-04-01,SKU01057,WH002,63,ERP,2026-04-01 23:55:00
2026-04-01,SKU01057,WH003,61,ERP,2026-04-01 23:55:00
2026-04-01,SKU01057,WH004,196,ERP,2026-04-01 23:55:00
2026-04-01,SKU01058,WH001,59,ERP,2026-04-01 23:55:00
2026-04-01,SKU01058,WH002,102,ERP,2026-04-01 23:55:00
2026-04-01,SKU01058,WH003,70,ERP,2026-04-01 23:55:00
2026-04-01,SKU01059,WH001,117,ERP,2026-04-01 23:55:00
2026-04-01,SKU01059,WH002,106,ERP,2026-04-01 23:55:00
2026-04-01,SKU01059,WH003,98,ERP,2026-04-01 23:55:00
2026-04-01,SKU01059,WH004,57,ERP,2026-04-01 23:55:00
2026-04-01,SKU01060,WH001,69,ERP,2026-04-01 23:55:00
2026-04-01,SKU01060,WH002,155,ERP,2026-04-01 23:55:00
2026-04-01,SKU01060,WH003,176,ERP,2026-04-01 23:55:00
2026-04-01,SKU01060,WH004,176,ERP,2026-04-01 23:55:00
2026-04-01,SKU01061,WH001,67,ERP,2026-04-01 23:55:00
2026-04-01,SKU01061,WH002,147,ERP,2026-04-01 23:55:00
2026-04-01,SKU01061,WH003,90,ERP,2026-04-01 23:55:00
2026-04-01,SKU01061,WH004,151,ERP,2026-04-01 23:55:00
2026-04-01,SKU01062,WH001,189,ERP,2026-04-01 23:55:00
2026-04-01,SKU01062,WH002,77,ERP,2026-04-01 23:55:00
2026-04-01,SKU01062,WH003,190,ERP,2026-04-01 23:55:00
2026-04-01,SKU01062,WH004,92,ERP,2026-04-01 23:55:00
2026-04-01,SKU01063,WH001,104,ERP,2026-04-01 23:55:00
2026-04-01,SKU01063,WH002,162,ERP,2026-04-01 23:55:00
2026-04-01,SKU01063,WH003,109,ERP,2026-04-01 23:55:00
2026-04-01,SKU01063,WH004,129,ERP,2026-04-01 23:55:00
2026-04-01,SKU01064,WH001,151,ERP,2026-04-01 23:55:00
2026-04-01,SKU01064,WH002,85,ERP,2026-04-01 23:55:00
2026-04-01,SKU01064,WH003,99,ERP,2026-04-01 23:55:00
2026-04-01,SKU01064,WH004,126,ERP,2026-04-01 23:55:00
2026-04-01,SKU01065,WH001,170,ERP,2026-04-01 23:55:00
2026-04-01,SKU01065,WH002,173,ERP,2026-04-01 23:55:00
2026-04-01,SKU01065,WH003,95,ERP,2026-04-01 23:55:00
2026-04-01,SKU01065,WH004,117,ERP,2026-04-01 23:55:00
2026-04-01,SKU01066,WH001,165,ERP,2026-04-01 23:55:00
2026-04-01,SKU01066,WH002,198,ERP,2026-04-01 23:55:00
2026-04-01,SKU01066,WH003,75,ERP,2026-04-01 23:55:00
2026-04-01,SKU01066,WH004,60,ERP,2026-04-01 23:55:00
2026-04-01,SKU01067,WH001,52,ERP,2026-04-01 23:55:00
2026-04-01,SKU01067,WH002,159,ERP,2026-04-01 23:55:00
2026-04-01,SKU01067,WH003,185,ERP,2026-04-01 23:55:00
2026-04-01,SKU01067,WH004,171,ERP,2026-04-01 23:55:00
2026-04-01,SKU01068,WH001,53,ERP,2026-04-01 23:55:00
2026-04-01,SKU01068,WH002,197,ERP,2026-04-01 23:55:00
2026-04-01,SKU01068,WH003,142,ERP,2026-04-01 23:55:00
2026-04-01,SKU01068,WH004,53,ERP,2026-04-01 23:55:00
2026-04-01,SKU01069,WH001,161,ERP,2026-04-01 23:55:00
2026-04-01,SKU01069,WH003,160,ERP,2026-04-01 23:55:00
2026-04-01,SKU01069,WH004,136,ERP,2026-04-01 23:55:00
2026-04-01,SKU01070,WH001,60,ERP,2026-04-01 23:55:00
2026-04-01,SKU01070,WH002,183,ERP,2026-04-01 23:55:00
2026-04-01,SKU01070,WH003,132,ERP,2026-04-01 23:55:00
2026-04-01,SKU01070,WH004,91,ERP,2026-04-01 23:55:00
2026-04-01,SKU01071,WH001,166,ERP,2026-04-01 23:55:00
2026-04-01,SKU01071,WH002,174,ERP,2026-04-01 23:55:00
2026-04-01,SKU01071,WH003,77,ERP,2026-04-01 23:55:00
2026-04-01,SKU01071,WH004,193,ERP,2026-04-01 23:55:00
2026-04-01,SKU01072,WH001,169,ERP,2026-04-01 23:55:00
2026-04-01,SKU01072,WH002,187,ERP,2026-04-01 23:55:00
2026-04-01,SKU01072,WH004,77,ERP,2026-04-01 23:55:00
2026-04-01,SKU01073,WH001,110,ERP,2026-04-01 23:55:00
2026-04-01,SKU01073,WH002,126,ERP,2026-04-01 23:55:00
2026-04-01,SKU01073,WH004,63,ERP,2026-04-01 23:55:00
2026-04-01,SKU01074,WH001,103,ERP,2026-04-01 23:55:00
2026-04-01,SKU01074,WH002,88,ERP,2026-04-01 23:55:00
2026-04-01,SKU01074,WH003,61,ERP,2026-04-01 23:55:00
2026-04-01,SKU01074,WH004,124,ERP,2026-04-01 23:55:00
2026-04-01,SKU01075,WH001,60,ERP,2026-04-01 23:55:00
2026-04-01,SKU01075,WH002,126,ERP,2026-04-01 23:55:00
2026-04-01,SKU01075,WH003,155,ERP,2026-04-01 23:55:00
2026-04-01,SKU01075,WH004,156,ERP,2026-04-01 23:55:00
2026-04-01,SKU01076,WH001,85,ERP,2026-04-01 23:55:00
2026-04-01,SKU01076,WH002,166,ERP,2026-04-01 23:55:00
2026-04-01,SKU01076,WH003,165,ERP,2026-04-01 23:55:00
2026-04-01,SKU01076,WH004,52,ERP,2026-04-01 23:55:00
2026-04-01,SKU01077,WH001,49,ERP,2026-04-01 23:55:00
2026-04-01,SKU01077,WH002,169,ERP,2026-04-01 23:55:00
2026-04-01,SKU01077,WH003,90,ERP,2026-04-01 23:55:00
2026-04-01,SKU01077,WH004,52,ERP,2026-04-01 23:55:00
2026-04-01,SKU01078,WH001,188,ERP,2026-04-01 23:55:00
2026-04-01,SKU01078,WH002,152,ERP,2026-04-01 23:55:00
2026-04-01,SKU01078,WH003,91,ERP,2026-04-01 23:55:00
2026-04-01,SKU01078,WH004,113,ERP,2026-04-01 23:55:00
2026-04-01,SKU01079,WH001,50,ERP,2026-04-01 23:55:00
2026-04-01,SKU01079,WH002,174,ERP,2026-04-01 23:55:00
2026-04-01,SKU01079,WH003,157,ERP,2026-04-01 23:55:00
2026-04-01,SKU01079,WH004,129,ERP,2026-04-01 23:55:00
2026-04-01,SKU01080,WH002,189,ERP,2026-04-01 23:55:00
2026-04-01,SKU01080,WH004,174,ERP,2026-04-01 23:55:00
2026-04-01,SKU01081,WH001,108,ERP,2026-04-01 23:55:00
2026-04-01,SKU01081,WH002,117,ERP,2026-04-01 23:55:00
2026-04-01,SKU01081,WH003,131,ERP,2026-04-01 23:55:00
2026-04-01,SKU01081,WH004,156,ERP,2026-04-01 23:55:00
2026-04-01,SKU01082,WH001,66,ERP,2026-04-01 23:55:00
2026-04-01,SKU01082,WH002,62,ERP,2026-04-01 23:55:00
2026-04-01,SKU01082,WH003,56,ERP,2026-04-01 23:55:00
2026-04-01,SKU01082,WH004,192,ERP,2026-04-01 23:55:00
2026-04-01,SKU01083,WH002,61,ERP,2026-04-01 23:55:00
2026-04-01,SKU01083,WH003,101,ERP,2026-04-01 23:55:00
2026-04-01,SKU01083,WH004,61,ERP,2026-04-01 23:55:00
2026-04-01,SKU01084,WH001,67,ERP,2026-04-01 23:55:00
2026-04-01,SKU01084,WH003,134,ERP,2026-04-01 23:55:00
2026-04-01,SKU01084,WH004,177,ERP,2026-04-01 23:55:00
2026-04-01,SKU01085,WH001,164,ERP,2026-04-01 23:55:00
2026-04-01,SKU01085,WH002,129,ERP,2026-04-01 23:55:00
2026-04-01,SKU01085,WH003,58,ERP,2026-04-01 23:55:00
2026-04-01,SKU01085,WH004,55,ERP,2026-04-01 23:55:00
2026-04-01,SKU01086,WH001,99,ERP,2026-04-01 23:55:00
2026-04-01,SKU01086,WH002,70,ERP,2026-04-01 23:55:00
2026-04-01,SKU01086,WH003,161,ERP,2026-04-01 23:55:00
2026-04-01,SKU01086,WH004,172,ERP,2026-04-01 23:55:00
2026-04-01,SKU01087,WH001,175,ERP,2026-04-01 23:55:00
2026-04-01,SKU01087,WH002,81,ERP,2026-04-01 23:55:00
2026-04-01,SKU01087,WH003,197,ERP,2026-04-01 23:55:00
2026-04-01,SKU01087,WH004,81,ERP,2026-04-01 23:55:00
2026-04-01,SKU01088,WH001,186,ERP,2026-04-01 23:55:00
2026-04-01,SKU01088,WH002,59,ERP,2026-04-01 23:55:00
2026-04-01,SKU01088,WH003,80,ERP,2026-04-01 23:55:00
2026-04-01,SKU01088,WH004,115,ERP,2026-04-01 23:55:00
2026-04-01,SKU01089,WH001,190,ERP,2026-04-01 23:55:00
2026-04-01,SKU01089,WH002,156,ERP,2026-04-01 23:55:00
2026-04-01,SKU01089,WH003,68,ERP,2026-04-01 23:55:00
2026-04-01,SKU01089,WH004,93,ERP,2026-04-01 23:55:00
2026-04-01,SKU01090,WH001,67,ERP,2026-04-01 23:55:00
2026-04-01,SKU01090,WH003,143,ERP,2026-04-01 23:55:00
2026-04-01,SKU01090,WH004,189,ERP,2026-04-01 23:55:00
2026-04-01,SKU01091,WH001,95,ERP,2026-04-01 23:55:00
2026-04-01,SKU01091,WH002,146,ERP,2026-04-01 23:55:00
2026-04-01,SKU01091,WH003,173,ERP,2026-04-01 23:55:00
2026-04-01,SKU01091,WH004,136,ERP,2026-04-01 23:55:00
2026-04-01,SKU01092,WH001,128,ERP,2026-04-01 23:55:00
2026-04-01,SKU01092,WH002,123,ERP,2026-04-01 23:55:00
2026-04-01,SKU01092,WH003,78,ERP,2026-04-01 23:55:00
2026-04-01,SKU01092,WH004,108,ERP,2026-04-01 23:55:00
2026-04-01,SKU01093,WH001,55,ERP,2026-04-01 23:55:00
2026-04-01,SKU01093,WH002,185,ERP,2026-04-01 23:55:00
2026-04-01,SKU01093,WH003,67,ERP,2026-04-01 23:55:00
2026-04-01,SKU01093,WH004,112,ERP,2026-04-01 23:55:00
2026-04-01,SKU01094,WH001,193,ERP,2026-04-01 23:55:00
2026-04-01,SKU01094,WH002,95,ERP,2026-04-01 23:55:00
2026-04-01,SKU01094,WH003,162,ERP,2026-04-01 23:55:00
2026-04-01,SKU01094,WH004,189,ERP,2026-04-01 23:55:00
2026-04-01,SKU01095,WH001,121,ERP,2026-04-01 23:55:00
2026-04-01,SKU01095,WH002,120,ERP,2026-04-01 23:55:00
2026-04-01,SKU01095,WH003,208,ERP,2026-04-01 23:55:00
2026-04-01,SKU01095,WH004,107,ERP,2026-04-01 23:55:00
2026-04-01,SKU01096,WH001,117,ERP,2026-04-01 23:55:00
2026-04-01,SKU01096,WH002,151,ERP,2026-04-01 23:55:00
2026-04-01,SKU01096,WH003,125,ERP,2026-04-01 23:55:00
2026-04-01,SKU01096,WH004,50,ERP,2026-04-01 23:55:00
2026-04-01,SKU01097,WH001,152,ERP,2026-04-01 23:55:00
2026-04-01,SKU01097,WH002,97,ERP,2026-04-01 23:55:00
2026-04-01,SKU01097,WH003,114,ERP,2026-04-01 23:55:00
2026-04-01,SKU01097,WH004,73,ERP,2026-04-01 23:55:00
2026-04-01,SKU01098,WH001,132,ERP,2026-04-01 23:55:00
2026-04-01,SKU01098,WH002,119,ERP,2026-04-01 23:55:00
2026-04-01,SKU01098,WH003,159,ERP,2026-04-01 23:55:00
2026-04-01,SKU01098,WH004,96,ERP,2026-04-01 23:55:00
2026-04-01,SKU01099,WH001,111,ERP,2026-04-01 23:55:00
2026-04-01,SKU01099,WH002,190,ERP,2026-04-01 23:55:00
2026-04-01,SKU01099,WH003,96,ERP,2026-04-01 23:55:00
2026-04-01,SKU01099,WH004,58,ERP,2026-04-01 23:55:00
2026-04-01,SKU01100,WH001,72,ERP,2026-04-01 23:55:00
2026-04-01,SKU01100,WH002,84,ERP,2026-04-01 23:55:00
2026-04-01,SKU01100,WH003,54,ERP,2026-04-01 23:55:00
2026-04-01,SKU01100,WH004,191,ERP,2026-04-01 23:55:00
2026-04-01,SKU01101,WH001,112,ERP,2026-04-01 23:55:00
2026-04-01,SKU01101,WH002,196,ERP,2026-04-01 23:55:00
2026-04-01,SKU01101,WH003,84,ERP,2026-04-01 23:55:00
